Timestamp,Author,Which item is this?,Tools,Types,Interoperation with:,Domain,Why unsafe?,Did they use any of these unsafe operations?,Did they describe an unsafe data structure?,Did they expose an unsafe API?,Did they document pre and postconditions or invariants for safety of unsafe code?,Found a bug?,Issues with Miri,Challenges with bug-finding,Binding generation preferences,"Shifting ground - Did they express uncertainty about Rust's semantics or describe how they are either changing or unclear?","Did they speak about a stigma against unsafe or express shame or negative feelings about unsafe code?"
8/2/2023 11:50:08,author2,1,,,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 11:50:54,author2,2,,,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 11:56:52,author2,3,,,"C++, WASM / JavaScript / TypeScript",Web development,,Pointer arithmetic / integer to pointer conversion,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 12:01:31,author2,4,,,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 13:31:57,author2,5,,,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 13:44:37,author2,6,,One Cell,,Embedded Systems,"Unsafe is more ergonomic or easier to use",,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 13:51:25,author2,7,"Miri, libfuzzer",,,N/A,,,N/A,N/A,N/A,,"Lack of support for foreign function calls, Runtime overhead",N/A,N/A,N/A,N/A
8/2/2023 13:53:52,author2,8,,,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 13:55:34,author2,9,,UnsafeCell<T>,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 13:56:37,author2,10,"Clippy, Miri",,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 13:57:55,author2,11,,,,N/A,,,N/A,N/A,N/A,Out of bounds,,N/A,N/A,N/A,N/A
8/2/2023 13:58:43,author2,12,,,,N/A,,,N/A,N/A,N/A,Memory Leak,,N/A,N/A,N/A,N/A
8/2/2023 14:10:24,author2,13,,,,N/A,,,N/A,N/A,Yes,,,N/A,N/A,N/A,N/A
8/2/2023 14:13:36,author2,14,Miri,,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 14:14:13,author2,15,,,,Embedded Systems,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 14:18:05,author1,1,,,"C, C++",Browser Development,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 14:18:54,author1,2,,,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 14:19:22,author2,16,,MaybeUninit<T>,,Embedded Systems,"To interact with hardware, the operating system, or other low-level external interfaces",,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 14:20:40,author1,3,,,"C++, WASM / JavaScript / TypeScript",Web development,,Pointer arithmetic / integer to pointer conversion,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 14:21:17,author1,4,,,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 14:22:25,author1,5,,,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 14:23:43,author1,6,,OnceCell<T>,,Embedded Systems,,,Yes,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 14:24:52,author1,7,"Miri, ASAN, MSAN, libfuzzer",,,N/A,,,N/A,N/A,N/A,,"Lack of support for foreign function calls, Runtime overhead",N/A,N/A,N/A,N/A
8/2/2023 14:25:26,author1,8,,,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 14:25:52,author2,17,,UnsafeCell<T>,,Embedded Systems,"To interact with hardware, the operating system, or other low-level external interfaces",,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 14:26:19,author1,9,,UnsafeCell<T>,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 14:27:13,author1,10,"Clippy, Miri, rustfmt",,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 14:27:41,author2,18,Miri,,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 14:29:11,author1,11,,,,N/A,,,N/A,N/A,N/A,Off-by-one,,N/A,N/A,N/A,N/A
8/2/2023 14:29:40,author2,19,,,,Web development,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 14:30:04,author1,12,,,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 14:31:12,author1,13,,,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 14:32:11,author1,14,Miri,,,N/A,,,N/A,N/A,N/A,,Runtime overhead,N/A,N/A,N/A,N/A
8/2/2023 14:32:31,author2,20,,,,N/A,,,N/A,N/A,Yes,,,N/A,N/A,N/A,N/A
8/2/2023 14:32:39,author1,15,,,,Embedded Systems,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 14:34:04,author1,16,,MaybeUninit<T>,,Embedded Systems,"To interact with hardware, the operating system, or other low-level external interfaces",,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 14:35:18,author1,17,,UnsafeCell<T>,,Embedded Systems,,,Yes,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 14:36:02,author1,18,Miri,,,N/A,,,N/A,N/A,N/A,Undefined Behavior,,N/A,N/A,N/A,N/A
8/2/2023 14:37:02,author1,19,,,,Browser development,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 14:37:44,author1,20,,,,N/A,,,N/A,N/A,Yes,,,N/A,N/A,N/A,N/A
