Timestamp,Author,Which item is this?,Tools,Types,Interoperation with:,Domain,Why unsafe?,Did they use any of these unsafe operations?,Did they describe an unsafe data structure?,Did they expose an unsafe API?,Did they document pre and postconditions or invariants for safety of unsafe code?,Found a bug?,Issues with Miri,Challenges with bug-finding,Binding generation preferences,Shifting ground - Did they express uncertainty about Rust's semantics or describe how they are either changing or unclear?,Did they speak about a stigma against unsafe or express shame or negative feelings about unsafe code?
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8/2/2023 15:44:30,author2,1,,MaybeUninit<T>,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,Yes,N/A
,,,,,,,,,,,,,,,,,
8/2/2023 15:45:45,author2,2,,,,Game Development,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8/2/2023 15:51:41,author2,3,,,,N/A,To circumvent the constraints imposed by Rust's type system,,Yes,N/A,N/A,Undefined Behavior,,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8/2/2023 15:52:43,author2,4,,,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,
8/2/2023 15:54:05,author2,5,PyO3,,,N/A,,,N/A,N/A,N/A,,,N/A,Use the results from a binding-generation tool without modification,N/A,N/A
,,,,,,,,,,,,,,,,,
8/2/2023 15:55:20,author2,6,,,,N/A,,,N/A,N/A,N/A,Improper Alignment,,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8/2/2023 15:58:39,author2,7,Miri,,,N/A,To circumvent the constraints imposed by Rust's type system,,Yes,N/A,N/A,,,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8/2/2023 16:00:42,author2,8,,,,N/A,,,N/A,N/A,N/A,Data Races,,N/A,N/A,N/A,N/A
8/2/2023 16:01:33,author2,9,,,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 16:01:53,author1,1,,MaybeUninit<T>,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,Yes,N/A
8/2/2023 16:02:16,author2,10,,,,N/A,,,N/A,N/A,N/A,,,N/A,Write bindings manually,N/A,N/A
8/2/2023 16:02:48,author1,2,,,,Operating Systems,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 16:03:51,author1,3,,,,N/A,,,N/A,N/A,N/A,Incorrect Type Casting,,N/A,N/A,N/A,N/A
8/2/2023 16:04:25,author2,11,,,,JIT Compilation,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
8/2/2023 16:04:50,author1,4,,,,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A
