Timestamp,Author,Which item is this?,Domain,Why unsafe?,Did they use any of these unsafe operations?,Did they expose an unsafe API?,Did they document pre and postconditions or invariants for safety of unsafe code?,Did the participant encounter any of these issues with Miri?,Did the participant express a preference for a certain type of binding generation?,"Did they speak about a stigma against unsafe, or express shame or negative feelings about unsafe code?",Did the participant encounter any of these bugs?
8/7/2023 12:04:00,author2,1,N/A,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023 12:04:26,author2,2,N/A,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023 12:06:13,author2,3,N/A,NA,Multiple / cyclic aliasing,NA,NA,NA,NA,NA,NA
8/7/2023 12:10:30,author2,4,N/A,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023 12:11:40,author2,5,N/A,To increase performance,NA,NA,NA,NA,NA,NA,NA
8/7/2023 12:12:58,author2,6,N/A,NA,NA,NA,NA,Runtime overhead,NA,NA,NA
8/7/2023 12:13:19,author2,7,N/A,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023 12:13:44,author2,8,N/A,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023 12:14:51,author2,9,Operating Systems,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023 12:15:24,author2,10,N/A,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023 12:16:31,author2,11,N/A,To increase performance,Transmute,NA,NA,NA,NA,NA,NA
8/7/2023 12:17:57,author2,12,Embedded Systems,Impossible or no other choice,NA,NA,NA,NA,NA,NA,NA
8/7/2023 12:18:57,author2,13,N/A,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023 12:21:43,author2,14,N/A,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023 12:22:23,author2,15,N/A,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023 12:23:04,author2,16,Embedded Systems,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023 12:23:30,author2,17,Web Application Development,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023 12:24:19,author2,18,N/A,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023 12:25:03,author2,19,N/A,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023 12:25:58,author2,20,N/A,NA,NA,NA,NA,NA,NA,NA,"From raw, wrong pointer"
8/7/2023 12:32:08,author2,21,N/A,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023 12:33:46,author2,22,N/A,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023 12:34:11,author2,23,N/A,NA,NA,NA,NA,NA,NA,NA,NA
8/7/2023 12:36:05,author2,24,N/A,Impossible or no other choice,NA,NA,NA,NA,NA,NA,NA
