StartDate,EndDate,Progress,Duration,Finished,RecordedDate,CQ1,CQ2,CQ3,EQ1,EQ2,BQ1,BQ2,BQ3,BQ4,BQ5,BQ6,BQ6_11_TEXT,BQ7,BQ7_7_TEXT,FQ1,FQ1_12_TEXT,FQ2,FQ2_12_TEXT,FQ3,FQ3_16_TEXT,BQ1_CLEAN,PQ3,ID,PID
4/20/23 5:13,4/20/23 5:15,100,99,TRUE,4/20/23 5:15,Yes,Yes,Yes,Yes,Yes,2,No,No,Yes,No,Other,slices mostly,Other,hopes and prayers ;),NA,NA,NA,NA,NA,NA,2,Industry,2,P1
4/24/23 15:37,4/24/23 15:43,100,358,TRUE,4/24/23 15:43,Yes,Yes,Yes,Yes,Yes,5,Yes,Yes,Yes,Yes,"Box,Rc,UnsafeCell,Cell,Arc,MaybeUninit,ManuallyDrop",NA,"Clippy,Miri",NA,"C,C++,JavaScript/TypeScript",NA,"C,C++,JavaScript/TypeScript",NA,"Written manually,bindgen,cbindgen,wasm-bindgen,Other",windows-bindgen,5,"Industry,Open source",6,P3
4/24/23 16:50,4/24/23 16:58,100,513,TRUE,4/24/23 16:58,Yes,Yes,Yes,Yes,Yes,8,Yes,No,Yes,No,"Box,UnsafeCell,Cell,RefCell",NA,"Clippy,Miri",NA,"C,C++",NA,NA,NA,"Written manually,cbindgen,wasm-bindgen",NA,8,"Industry,Open source",7,P4
4/27/23 13:10,4/27/23 13:20,100,585,TRUE,4/27/23 13:20,Yes,Yes,Yes,Yes,Yes,2,Yes,Yes,Yes,Yes,"Box,OnceCell",NA,Other,Usually none,"C,C++,Python,Java,Other",Cython,"C,Java",NA,"Written manually,cbindgen",NA,2,"Industry,Open source",8,P5
4/28/23 10:58,4/28/23 11:00,100,145,TRUE,4/28/23 11:00,Yes,Yes,Yes,Yes,Yes,3,Yes,No,Yes,Yes,"Box,UnsafeCell,MaybeUninit,ManuallyDrop",NA,"Clippy,AddressSanitizer (ASAN),MemorySanitizer (MSAN)",NA,"C,C++",NA,NA,NA,"cbindgen,cxx",NA,3,Academia,9,P6
4/30/23 12:15,4/30/23 12:18,100,219,TRUE,4/30/23 12:18,Yes,Yes,Yes,Yes,Yes,10,Yes,Yes,Yes,Yes,"Box,Rc,UnsafeCell,Cell,RefCell,Arc,MaybeUninit,ManuallyDrop",NA,"Clippy,Miri,AddressSanitizer (ASAN),ThreadSanitizer (TSAN),Other",cargo-fuzz,"C,C++,JavaScript/TypeScript,Python,Java",NA,"C,C++,JavaScript/TypeScript,Java",NA,"bindgen,cbindgen,wasm-bindgen,cxx,autocxx,Other",diplomat,10,"Industry,Rust team",3,P2
5/1/23 10:17,5/1/23 10:23,100,378,TRUE,5/1/23 10:23,Yes,Yes,Yes,Yes,Yes,2,Yes,Yes,Yes,Yes,"Box,Rc",NA,"Clippy,Miri,Other",Valgrind,C,NA,C,NA,Written manually,NA,2,NA,NA,NA
5/1/23 10:22,5/1/23 11:13,100,3025,TRUE,5/1/23 11:13,Yes,Yes,Yes,Yes,Yes,6,Yes,Yes,No,No,"Box,UnsafeCell,MaybeUninit",NA,Clippy,NA,"C,C++",NA,"C,C++,Python",NA,"bindgen,cbindgen,cxx,PyO3",NA,6,Industry,10,P7
5/1/23 10:59,5/1/23 11:15,100,950,TRUE,5/1/23 11:15,Yes,Yes,Yes,Yes,Yes,4,Yes,Yes,Yes,Yes,"Box,UnsafeCell,MaybeUninit",NA,"Clippy,Miri,AddressSanitizer (ASAN)",NA,"C,C++",NA,"C,C++",NA,"Written manually,bindgen,cbindgen,windows-bindgen,cxx",NA,4,Industry,11,NA
5/1/23 11:28,5/1/23 11:33,100,286,TRUE,5/1/23 11:33,Yes,Yes,Yes,Yes,Yes,2,Yes,No,No,No,"Box,Arc",NA,"Clippy,Miri",NA,C,NA,NA,NA,bindgen,NA,2,Open Source,13,NA
